Postal Codes,,,,,,,
1,1.27293336, 103.8516864200,,,,,,
1,1.27268129, 103.8529256000,,,,,,
1,1.270166, 103.8566565500,,,,,,
1,1.26972757, 103.8574531700,,,,,,
1,1.26986969, 103.8575872800,,,,,,
1,1.26952109, 103.8583289100,,,,,,
1,1.26935215, 103.8584442400,,,,,,
1,1.26929763, 103.8584214500,,,,,,
1,1.2689745, 103.8579708300,,,,,,
1,1.26473228, 103.8608568900,,,,,,
1,1.26536513, 103.8617420200,,,,,,
1,1.26783216, 103.8599932200,,,,,,
1,1.27017047, 103.8632977000,,,,,,
1,1.27039572, 103.8631314000,,,,,,
1,1.27575881, 103.8703143600,,,,,,
1,1.2810057, 103.8752710800,,,,,,
1,1.286443785, 103.8699495800,,,,,,
1,1.28984403, 103.8679862000,,,,,,
1,1.28878215, 103.8647675500,,,,,,
1,1.28851399, 103.8642847500,,,,,,
1,1.28834238, 103.8606369500,,,,,,
1,1.28650821, 103.8589525200,,,,,,
1,1.2864653, 103.8545751500,,,,,,
1,1.28064, 103.85112,,,,,,
1,1.2785208, 103.8498115500,,,,,,
1,1.27596697, 103.8495969700,,,,,,
2,1.28984, 103.86798,,,,,,
2,1.28644, 103.86994,,,,,,
2,1.281, 103.87527,,,,,,
2,1.29187, 103.89126,,,,,,
3,1.28646, 103.85457,,,,,,
3,1.2865, 103.85895,,,,,,
3,1.28834, 103.86063,,,,,,
3,1.28851, 103.86428,,,,,,
3,1.28878, 103.86476,,,,,,
3,1.28984, 103.86798,,,,,,
3,1.29525, 103.87137,,,,,,
3,1.29814, 103.87682,,,,,,
3,1.29907, 103.87747,,,,,,
3,1.3007, 103.87279,,,,,,
3,1.30293, 103.87182,,,,,,
3,1.30338, 103.86702,,,,,,
3,1.29844, 103.86032,,,,,,
3,1.29566, 103.85751,,,,,,
3,1.29126, 103.85496,,,,,,
3,1.28883, 103.85429,,,,,,
4,1.28064, 103.85112,,,,,,
4,1.28646, 103.85457,,,,,,
4,1.28883, 103.85429,,,,,,
4,1.28735, 103.85339,,,,,,
4,1.28643, 103.85262,,,,,,
4,1.28562, 103.85135,,,,,,
4,1.28623, 103.85004,,,,,,
4,1.28791, 103.84951,,,,,,
4,1.2889, 103.84918,,,,,,
4,1.28366, 103.8462,,,,,,
4,1.28208, 103.8487,,,,,,
5,1.2889, 103.84918,,,,,,
5,1.28946, 103.84844,,,,,,
